"prior","class","coef","group","resp","dpar","nlpar","lb","ub","source","model"
"normal(0, 1)","b","","","","","","","","user","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_AGE","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(-0.5, 0.5)","b","z_BASE_VELOCITY","","","","","","","user","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_DGI","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_FSST","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GCS_NEUROTRAX","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GDS","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GENDER","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_log_TMT_B","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_TUG","","","","","","","default","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","Intercept","","","","","","","","user","c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","b","","","","","","","","user","c-PHYSICAL_SPEED"
"","b","z_AGE","","","","","","","default","c-PHYSICAL_SPEED"
"normal(-0.5, 0.5)","b","z_BASE_VELOCITY","","","","","","","user","c-PHYSICAL_SPEED"
"","b","z_DGI","","","","","","","default","c-PHYSICAL_SPEED"
"","b","z_FSST","","","","","","","default","c-PHYSICAL_SPEED"
"","b","z_GENDER","","","","","","","default","c-PHYSICAL_SPEED"
"","b","z_TUG","","","","","","","default","c-PHYSICAL_SPEED"
"normal(0, 1)","Intercept","","","","","","","","user","c-PHYSICAL_SPEED"
"normal(0, 1)","b","","","","","","","","user","c-PHYSICAL"
"","b","z_AGE","","","","","","","default","c-PHYSICAL"
"","b","z_DGI","","","","","","","default","c-PHYSICAL"
"","b","z_FSST","","","","","","","default","c-PHYSICAL"
"","b","z_GENDER","","","","","","","default","c-PHYSICAL"
"","b","z_TUG","","","","","","","default","c-PHYSICAL"
"normal(0, 1)","Intercept","","","","","","","","user","c-PHYSICAL"
"normal(0, 1)","b","","","","","","","","user","c-DEPRESSION"
"","b","z_GDS","","","","","","","default","c-DEPRESSION"
"normal(0, 1)","Intercept","","","","","","","","user","c-DEPRESSION"
"","b","","","","","","","","default","c-SPEED"
"normal(-0.5, 0.5)","b","z_BASE_VELOCITY","","","","","","","user","c-SPEED"
"normal(0, 1)","Intercept","","","","","","","","user","c-SPEED"
"normal(0, 1)","b","","","","","","","","user","c-COGNITIVE"
"","b","z_GCS_NEUROTRAX","","","","","","","default","c-COGNITIVE"
"","b","z_log_TMT_B","","","","","","","default","c-COGNITIVE"
"normal(0, 1)","Intercept","","","","","","","","user","c-COGNITIVE"
"normal(0, 1)","b","","","","","","","","user","spline-c-COGNITIVE"
"","b","sz_GCS_NEUROTRAX_1","","","","","","","default","spline-c-COGNITIVE"
"","b","sz_log_TMT_B_1","","","","","","","default","spline-c-COGNITIVE"
"","b","z_GCS_NEUROTRAX","","","","","","","default","spline-c-COGNITIVE"
"","b","z_log_TMT_B","","","","","","","default","spline-c-COGNITIVE"
"normal(0, 1)","Intercept","","","","","","","","user","spline-c-COGNITIVE"
"student_t(3, 0, 2.5)","sds","","","","","","0","","default","spline-c-COGNITIVE"
"","sds","s(z_GCS_NEUROTRAX)","","","","","","","default","spline-c-COGNITIVE"
"","sds","s(z_log_TMT_B)","","","","","","","default","spline-c-COGNITIVE"
"normal(0, 1)","b","","","","","","","","user","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_AGE","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(-0.5, 0.5)","b","z_BASE_VELOCITY","","","","","","","user","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_DGI","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_FSST","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GCS_NEUROTRAX","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GDS","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GENDER","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_log_TMT_B","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_TUG","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","Intercept","","","","","","","","user","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"lkj_corr_cholesky(1)","L","","","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","L","","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","sd","","","","","","0","","user","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","Intercept","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_AGE","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(-0.5, 0.5)","sd","z_BASE_VELOCITY","AGE_GROUP","","","","","","user","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_DGI","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_FSST","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GCS_NEUROTRAX","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GDS","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GENDER","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_log_TMT_B","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_TUG","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","b","","","","","","","","user","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_AGE","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(-0.5, 0.5)","b","z_BASE_VELOCITY","","","","","","","user","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_DGI","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_FSST","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GCS_NEUROTRAX","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GDS","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_GENDER","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_log_TMT_B","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","b","z_TUG","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","Intercept","","","","","","","","user","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"lkj_corr_cholesky(1)","L","","","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","L","","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","sd","","","","","","0","","user","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","Intercept","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_AGE","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(-0.5, 0.5)","sd","z_BASE_VELOCITY","GENDER","","","","","","user","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_DGI","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_FSST","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GCS_NEUROTRAX","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GDS","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_GENDER","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_log_TMT_B","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"","sd","z_TUG","GENDER","","","","","","default","hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION"
"normal(0, 1)","b","","","","","","","","user","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","b","z_BASE_VELOCITY","","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","b","z_GDS","","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"normal(0, 1)","Intercept","","","","","","","","user","hierarchical-GENDER-c-SPEED_DEPRESSION"
"lkj_corr_cholesky(1)","L","","","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","L","","GENDER","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"normal(0, 1.5)","sd","","","","","","0","","user","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","sd","","GENDER","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","sd","Intercept","GENDER","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","sd","z_BASE_VELOCITY","GENDER","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","sd","z_GDS","GENDER","","","","","","default","hierarchical-GENDER-c-SPEED_DEPRESSION"
"","b","","","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"","b","z_BASE_VELOCITY","","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"normal(0, 1)","Intercept","","","","","","","","user","hierarchical-AGE_GROUP-c-SPEED"
"lkj_corr_cholesky(1)","L","","","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"","L","","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"normal(0, 1.5)","sd","","","","","","0","","user","hierarchical-AGE_GROUP-c-SPEED"
"","sd","","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"","sd","Intercept","AGE_GROUP","","","","","","default","hierarchical-AGE_GROUP-c-SPEED"
"normal(-0.5, 0.5)","sd","z_BASE_VELOCITY","AGE_GROUP","","","","","","user","hierarchical-AGE_GROUP-c-SPEED"
"normal(0, 1)","b","","","","","","","","user","hierarchical-AGE_GROUP-spline-c-COGNITIVE"
"","b","sz_GCS_NEUROTRAX_1","","","","","","","default","hierarchical-AGE_GROUP-spline-c-COGNITIVE"
"","b","sz_log_TMT_B_1","","","","","","","default","hierarchical-AGE_GROUP-spline-c-COGNITIVE"
"normal(0, 1)","Intercept","","","","","","","","user","hierarchical-AGE_GROUP-spline-c-COGNITIVE"
"lkj_corr_cholesky(1)","L","","","","","","","","default","hierarchical-AGE_GROUP-spline-c-COGNITIVE"
