"prior","class","coef","group","resp","dpar","nlpar","lb","ub","source","model"
"","b","","","","","","","","default","gender_dep"
"normal(-0.7, 0.3)","b","z_BASE_VELOCITY","","","","","","","user","gender_dep"
"normal(0.3, 0.3)","b","z_GDS","","","","","","","user","gender_dep"
"normal(0, 0.5)","Intercept","","","","","","","","user","gender_dep"
"lkj_corr_cholesky(4)","L","","","","","","","","user","gender_dep"
"","L","","GENDER","","","","","","default","gender_dep"
"exponential(3)","sd","","","","","","0","","user","gender_dep"
"","sd","","GENDER","","","","","","default","gender_dep"
"","sd","Intercept","GENDER","","","","","","default","gender_dep"
"","sd","z_BASE_VELOCITY","GENDER","","","","","","default","gender_dep"
"","sd","z_GDS","GENDER","","","","","","default","gender_dep"
"","b","","","","","","","","default","gender_dep_v2"
"normal(-0.5, 0.4)","b","z_BASE_VELOCITY","","","","","","","user","gender_dep_v2"
"normal(0.2, 0.4)","b","z_GDS","","","","","","","user","gender_dep_v2"
"normal(0, 0.7)","Intercept","","","","","","","","user","gender_dep_v2"
"lkj_corr_cholesky(3)","L","","","","","","","","user","gender_dep_v2"
"","L","","GENDER","","","","","","default","gender_dep_v2"
"gamma(3, 3)","sd","","","","","","0","","user","gender_dep_v2"
"","sd","","GENDER","","","","","","default","gender_dep_v2"
"","sd","Intercept","GENDER","","","","","","default","gender_dep_v2"
"","sd","z_BASE_VELOCITY","GENDER","","","","","","default","gender_dep_v2"
"","sd","z_GDS","GENDER","","","","","","default","gender_dep_v2"
"","b","","","","","","","","default","age_speed"
"normal(-0.7, 0.3)","b","z_BASE_VELOCITY","","","","","","","user","age_speed"
"normal(0, 0.7)","Intercept","","","","","","","","user","age_speed"
"lkj_corr_cholesky(5)","L","","","","","","","","user","age_speed"
"","L","","AGE_GROUP","","","","","","default","age_speed"
"gamma(2, 4)","sd","","","","","","0","","user","age_speed"
"","sd","","AGE_GROUP","","","","","","default","age_speed"
"","sd","Intercept","AGE_GROUP","","","","","","default","age_speed"
"","sd","z_BASE_VELOCITY","AGE_GROUP","","","","","","default","age_speed"
"","b","","","","","","","","default","age_speed_v2"
"normal(-0.6, 0.4)","b","z_BASE_VELOCITY","","","","","","","user","age_speed_v2"
"normal(0, 0.5)","Intercept","","","","","","","","user","age_speed_v2"
"lkj_corr_cholesky(3)","L","","","","","","","","user","age_speed_v2"
"","L","","AGE_GROUP","","","","","","default","age_speed_v2"
"student_t(3, 0, 0.5)","sd","","","","","","0","","user","age_speed_v2"
"","sd","","AGE_GROUP","","","","","","default","age_speed_v2"
"","sd","Intercept","AGE_GROUP","","","","","","default","age_speed_v2"
"","sd","z_BASE_VELOCITY","AGE_GROUP","","","","","","default","age_speed_v2"
