Regression Coefficients:
                       Estimate Est.Error l-95% CI u-95% CI Rhat Bulk_ESS Tail_ESS
Intercept                 -7.02      2.81   -12.79    -1.75 1.00     2405     2653
GDS                        1.61      2.64    -3.25     7.10 1.00     2403     2803
AGE                        0.66      2.20    -3.96     4.79 1.00     2246     2598
GCS_NEUROTRAX              1.39      3.40    -5.09     8.20 1.00     2592     2846
EFI_EXEC_FUNC_INDEX       -0.94      2.74    -6.39     4.31 1.00     2690     3338
GENDER                     0.20      2.37    -4.38     4.93 1.00     2663     2854
ABC_TOTAL_PERCENT         -5.11      3.21   -12.51    -0.12 1.00     2347     2615
SF36                       0.85      2.82    -4.49     6.44 1.00     2412     2832
MMSE                      -0.01      2.58    -5.04     5.23 1.00     2439     2508
MOCA                      -1.74      2.71    -6.91     3.62 1.00     2735     3010
FAB                       -2.73      3.16    -9.05     3.34 1.00     2413     2695
TUG                       -1.45      3.34    -8.78     3.99 1.00     3231     2721
FSST                      -7.02      3.19   -13.66    -1.06 1.00     2539     2712
BERG                      -0.25      2.87    -5.88     5.21 1.00     2587     2739
DGI                       -1.64      3.38    -8.69     4.41 1.00     2918     2667
TMT_A                     -4.18      2.68    -9.40     1.02 1.00     1829     2412
TMT_B                      3.40      3.14    -2.63     9.73 1.00     2222     1872
BASE_VELOCITY             -2.47      3.33    -8.98     3.96 1.00     3085     3006
S3_VELOCITY               -0.90      3.35    -7.58     5.75 1.00     3173     3067
PASE                       0.75      2.23    -3.48     5.26 1.00     2648     2536
FEET_CLOSE_EYES_OPEN     -14.94      3.46   -22.14    -8.52 1.00     2398     2341
FEET_CLOSE_EYES_CLOSED    -5.62      3.89   -14.08     0.74 1.00     3035     2726
TANDEM_EYES_OPEN           0.54      2.01    -3.37     4.56 1.00     2500     3070
TANDEM_EYES_CLOSED         0.20      2.46    -5.05     4.42 1.00     2776     3091
