"model","elpd","se","p_loo","looic"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-51.4292005202353,5.74607580915395,11.6159905094471,102.858401040471
"c-PHYSICAL_SPEED",-49.8125888444921,4.7502366010408,6.98227776196308,99.6251776889842
"c-PHYSICAL",-49.868927987854,4.69145135183528,6.58460372610049,99.7378559757081
"c-DEPRESSION",-49.5929330247973,3.13235694519556,1.8964657850625,99.1858660495946
"c-SPEED",-49.1136330472533,2.84053903819172,1.56470306346225,98.2272660945066
"c-COGNITIVE",-54.5096530453091,2.00746566592464,3.44957525496568,109.019306090618
"spline-c-COGNITIVE",-53.1628289590353,2.60136079211505,5.51745793792932,106.325657918071
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-55.1198596168699,7.32116916474048,21.4457219750047,110.23971923374
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-51.2553324770518,5.84797411168547,15.3481646276193,102.510664954104
"hierarchical-GENDER-c-SPEED_DEPRESSION",-48.757570589462,4.49601110129954,5.22257230204831,97.515141178924
"hierarchical-AGE_GROUP-c-SPEED",-49.1481796133948,3.34003306696073,3.86458311399945,98.2963592267896
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-54.2435302520067,3.38134608612835,8.73156407834115,108.487060504013
