"model","intercept","intercept_se","n_obs","formula"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.2284394849168,0.30049322153646,76,"list()"
"c-PHYSICAL_SPEED",-0.214305651357462,0.272926663173441,76,"list()"
"c-PHYSICAL",-0.179428417405335,0.268128857478216,76,"list()"
"c-DEPRESSION",-0.25508712577455,0.236165179268153,76,"list()"
"c-SPEED",-0.278689979395599,0.237339655057115,76,"list()"
"c-COGNITIVE",-0.267847308470398,0.229077218559778,76,"list()"
"spline-c-COGNITIVE",-0.315705862033465,0.237995497984771,76,"list()"
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.242301085058938,0.542968194334119,76,"list()"
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.0695535363887023,0.656115827804965,76,"list()"
"hierarchical-GENDER-c-SPEED_DEPRESSION",-0.23367069551983,0.514621391631527,76,"list()"
"hierarchical-AGE_GROUP-c-SPEED",-0.194878292667464,0.481564101625357,76,"list()"
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-0.232145070164568,0.485267778811993,76,"list()"
