"model","intercept","intercept_se","n_obs","formula"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.23004479376713,0.285550788840922,76,"list()"
"c-PHYSICAL_SPEED",-0.220902729017339,0.269622885951962,76,"list()"
"c-FSST",-0.216068512458055,0.252744630067829,76,"list()"
"c-PHYSICAL",-0.188142713940019,0.265026913159907,76,"list()"
"c-DEPRESSION",-0.260133536970675,0.242618117557245,76,"list()"
"c-SPEED",-0.278689979395599,0.237339655057115,76,"list()"
"c-COGNITIVE",-0.263226243312975,0.232085778682148,76,"list()"
"spline-c-COGNITIVE",-0.310243712121224,0.241685509135619,76,"list()"
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.250107145752088,0.518395580694019,76,"list()"
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.107301322043293,0.626013845693845,76,"list()"
"hierarchical-GENDER-c-SPEED_DEPRESSION",-0.256222968038301,0.493546079979651,76,"list()"
"hierarchical-AGE_GROUP-c-SPEED",-0.194878292667464,0.481564101625357,76,"list()"
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-0.228269449619939,0.486011556300554,76,"list()"
