"model","intercept","intercept_se","n_obs","formula"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.235702507826637,0.289570624116285,76,"list()"
"c-PHYSICAL_SPEED",-0.214887381560621,0.26024944534813,76,"list()"
"c-PHYSICAL",-0.186513356682102,0.266824236971718,76,"list()"
"c-DEPRESSION",-0.258994536638198,0.240243621813696,76,"list()"
"c-SPEED",-0.278689979395599,0.237339655057115,76,"list()"
"c-COGNITIVE",-0.261328837145519,0.232750929559148,76,"list()"
"spline-c-COGNITIVE",-0.310807055234406,0.244084608070561,76,"list()"
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.256362099771134,0.524617854324125,76,"list()"
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-0.0889915661633281,0.637121926316358,76,"list()"
"hierarchical-GENDER-c-SPEED_DEPRESSION",-0.243894311001588,0.54150576540229,76,"list()"
"hierarchical-AGE_GROUP-c-SPEED",-0.194878292667464,0.481564101625357,76,"list()"
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-0.248059373757427,0.468970099149717,76,"list()"
