"model","parameter","estimate","std_error"
"gender_dep","Intercept",-0.158498618035072,0.21645879326417
"gender_dep","z_BASE_VELOCITY",-0.543979238572796,0.195420497046094
"gender_dep","z_GDS",0.37990781568599,0.185400451418374
"gender_dep_v2","Intercept",-0.144965203481057,0.393017930321504
"gender_dep_v2","z_BASE_VELOCITY",-0.482195513133342,0.299757454784151
"gender_dep_v2","z_GDS",0.332034451230283,0.292825146145816
"age_speed","Intercept",-0.127944845353229,0.293019427450397
"age_speed","z_BASE_VELOCITY",-0.618372837924399,0.207873837027259
"age_speed_v2","Intercept",-0.127292424399014,0.247549846723726
"age_speed_v2","z_BASE_VELOCITY",-0.549810546537899,0.218878717795383
