"model","elpd","se","p_loo","looic"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-50.4070687797291,5.45333453020799,10.8981276157397,100.814137559458
"FSST",-49.0903139913589,2.99313984067811,1.83900693720739,98.1806279827177
"c-PHYSICAL",-48.6190997687603,4.15731568022008,5.32973679971633,97.2381995375206
"c-DEPRESSION",-49.5316923385872,2.94172706759395,1.82122903400684,99.0633846771743
"c-SPEED",-49.9227217637835,3.05132481435356,2.19220287009135,99.845443527567
"c-COGNITIVE",-54.8224460843401,2.06963223230947,4.09079550250851,109.64489216868
"spline-c-COGNITIVE",-53.954219939734,2.75346337874448,7.24208120357565,107.908439879468
"hierarchical-AGE_GROUP-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-53.998058950139,6.40752103588946,20.9056777754592,107.996117900278
"hierarchical-GENDER-c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION",-51.1772677560282,5.76599717153225,15.5949757997097,102.354535512056
"hierarchical-AGE_GROUP-c-SPEED",-50.3235769389025,3.460388521562,5.61349102252769,100.647153877805
"hierarchical-AGE_GROUP-spline-c-COGNITIVE",-56.301328254623,3.82161635496167,11.7319608082574,112.602656509246
