"model","parameter","estimate","std_error"
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","Intercept",-0.274398764345983,0.281660927119175
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_AGE",-0.473290030193901,0.343538778933742
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GENDER",-0.383616870088938,0.310117563291278
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_DGI",-0.256153936847983,0.421234814236845
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_TUG",0.299503305173409,0.542580976633246
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_FSST",0.701482368295954,0.495837025276523
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_BASE_VELOCITY",-0.368177923148432,0.366833620569665
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_S3_VELOCITY",-0.249455087309075,0.358426438978966
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GCS_NEUROTRAX",0.0560671844700247,0.364140338163569
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_log_TMT_A",-0.372235747405507,0.413317024431913
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_log_TMT_B",-0.047087230926763,0.48220089882014
"c-PHYSICAL_SPEED_COGNITIVE_DEPRESSION","z_GDS",0.7450463216235,0.316429726676954
"FSST","Intercept",-0.235483564105198,0.250652690902427
"FSST","z_FSST",0.863836822528266,0.314784223893193
"c-PHYSICAL","Intercept",-0.200874023641833,0.26017000445458
"c-PHYSICAL","z_AGE",-0.52653179937675,0.271089956289082
"c-PHYSICAL","z_GENDER",-0.276390264250483,0.27154643045194
"c-PHYSICAL","z_DGI",-0.286440399924289,0.381436989249284
"c-PHYSICAL","z_TUG",0.735869188119074,0.509409886400854
"c-PHYSICAL","z_FSST",0.545345060812581,0.438981381203818
"c-DEPRESSION","Intercept",-0.255691805397005,0.235383216752259
"c-DEPRESSION","z_GDS",0.71213791305178,0.258711449182503
"c-SPEED","Intercept",-0.291763557935875,0.243336218358254
"c-SPEED","z_BASE_VELOCITY",-0.659528042139298,0.307985140136079
"c-SPEED","z_S3_VELOCITY",-0.137990321881595,0.300306495901377
"c-COGNITIVE","Intercept",-0.267855562442953,0.233563618622118
"c-COGNITIVE","z_GCS_NEUROTRAX",-0.313913735560853,0.278694422304187
